recid,boro,uf1_1,uf1_2,uf1_3,uf1_4,uf1_5,uf1_6,uf1_7,uf1_8,uf1_9,uf1_10,uf1_11,uf1_12,uf1_13,uf1_14,uf1_15,uf1_16,uf1_35,uf1_17,uf1_18,uf1_19,uf1_20,uf1_21,uf1_22,sc23,sc24,sc36,sc37,sc38,sc30,sc518,uf49,sc520,uf33,uf51,sc522,sc553,sc555,sc523,sc524,sc525,sc526,sc527,sc528,sc529,sc530,sc531,sc532,sc533,sc534,sc535,uf31,uf19,new_csr,nusc,sc26,uf23,rec62,rec64,uf32,rec21,cd,seqno,fw,hflag6,hflag3,hflag15,hflag17,hflag8,hflag5
3,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,2,03,1,01,02,2,9,2,2,02,0,3,0,4,3,1,3,2,1,1,99,01300,2,80,13,07,02,1,1,0650,8,01,193213,228.10518,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,9,9,9,1,9,9,9,9,9,1,2,2,1,4,3,4,2,05,2,02,02,2,9,2,4,03,0,3,0,4,2,1,6,2,1,3,03,99999,2,04,05,11,09,1,1,9999,1,01,948668,204.5444,0,0,0,0,0,0
3,1,1,1,1,1,9,9,9,9,9,1,9,1,1,9,9,9,9,1,9,9,9,9,9,1,2,2,2,2,4,2,05,2,02,04,2,9,2,1,01,0,4,0,5,3,1,5,2,1,1,99,01300,2,04,05,11,09,2,2,1300,2,01,939424,211.05758,0,0,0,0,1,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,3,1,5,2,11,1,05,04,1,8,2,2,02,0,3,1,9,1,1,6,2,1,3,04,99999,2,04,02,11,08,1,4,9999,1,01,429566,242.05857,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,3,1,5,2,11,1,05,04,1,8,2,3,02,0,3,1,9,1,1,6,2,1,3,04,99999,2,04,02,11,08,1,4,9999,1,01,371541,242.05857,0,0,0,0,0,0
3,1,9,9,1,9,9,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,2,2,2,2,11,2,05,07,1,2,2,4,03,0,3,0,4,3,1,1,2,1,3,03,99999,1,04,02,11,07,1,1,9999,1,01,722008,260.28848,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,2,2,2,2,10,2,04,06,2,9,2,3,02,0,4,0,5,3,8,8,8,8,3,01,99999,1,04,02,11,07,2,2,9999,1,01,393468,234.77812,0,1,1,1,1,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,4,1,4,2,05,1,02,02,2,9,2,3,03,0,3,0,4,1,1,1,2,1,3,09,99999,2,04,01,11,09,1,1,9999,1,01,161350,234.77812,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,1,1,1,1,3,13,2,05,07,1,1,1,3,03,0,3,0,4,4,1,5,4,1,1,99,01187,1,80,03,07,01,1,1,0395,1,01,196717,211.05758,0,0,0,0,0,1
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,1,1,2,2,11,2,04,03,1,2,2,1,01,0,3,0,4,2,1,2,2,1,1,99,00422,2,05,03,06,07,1,1,0422,1,01,561614,213.20593,0,0,0,0,0,1
